"QuantityPath","Parameter","PKParameter","Value"
"Organism|B","Volume","C_max",0
"Organism|B","Q","C_max",0
"Organism|B","R1-k1","C_max",0.125683048927291
"Organism|B","Volume","t_max",0
"Organism|B","Q","t_max",0
"Organism|B","R1-k1","t_max",0
"Organism|B","Volume","C_tEnd",0
"Organism|B","Q","C_tEnd",0
"Organism|B","R1-k1","C_tEnd",0.125683048927291
"Organism|B","Volume","AUC_tEnd",0
"Organism|B","Q","AUC_tEnd",0
"Organism|B","R1-k1","AUC_tEnd",0.28611793526023
"Organism|B","Volume","Thalf",0.00263222880524802
"Organism|B","Q","Thalf",0.00263222880524803
"Organism|B","R1-k1","Thalf",2.07765550328695
"Organism|A","Volume","C_max",0
"Organism|A","Q","C_max",0
"Organism|A","R1-k1","C_max",0
"Organism|A","Volume","C_tEnd",0.00190454006083498
"Organism|A","Q","C_tEnd",0.00190454006083497
"Organism|A","R1-k1","C_tEnd",-3.02083869539058
"Organism|A","Volume","AUC_tEnd",-0.000128123461933747
"Organism|A","Q","AUC_tEnd",-0.000128123461933749
"Organism|A","R1-k1","AUC_tEnd",-0.840311133361753
"Organism|A","Volume","AUC_inf",0.00018484046398853
"Organism|A","Q","AUC_inf",0.000184840463988528
"Organism|A","R1-k1","AUC_inf",-1.00100907307317
"Organism|A","Volume","MRT",0.00118913494339526
"Organism|A","Q","MRT",0.00118913494339525
"Organism|A","R1-k1","MRT",-1.01555226539856
"Organism|A","Volume","Thalf",0.00426118762408444
"Organism|A","Q","Thalf",0.00426118762408443
"Organism|A","R1-k1","Thalf",-1.01312030950234
"Organism|A","Volume","FractionAucLastToInf",0.0059700442604894
"Organism|A","Q","FractionAucLastToInf",0.00597004426048938
"Organism|A","R1-k1","FractionAucLastToInf",-3.03173890196508
"Organism|Liver|A","Volume","C_max",0
"Organism|Liver|A","Q","C_max",0
"Organism|Liver|A","R1-k1","C_max",0
"Organism|Liver|A","Volume","C_tEnd",0.00190449529412327
"Organism|Liver|A","Q","C_tEnd",0.00190449529412326
"Organism|Liver|A","R1-k1","C_tEnd",-3.02083906347243
"Organism|Liver|A","Volume","AUC_tEnd",-0.000128112779572286
"Organism|Liver|A","Q","AUC_tEnd",-0.000128112779572288
"Organism|Liver|A","R1-k1","AUC_tEnd",-0.840311179491087
"Organism|Liver|A","Volume","AUC_inf",0.000184678113354372
"Organism|Liver|A","Q","AUC_inf",0.000184678113354369
"Organism|Liver|A","R1-k1","AUC_inf",-1.00100945868531
"Organism|Liver|A","Volume","MRT",0.00118913494339526
"Organism|Liver|A","Q","MRT",0.00118913494339525
"Organism|Liver|A","R1-k1","MRT",-1.0155530878528
"Organism|Liver|A","Volume","Thalf",0.00426148998413105
"Organism|Liver|A","Q","Thalf",0.00426148998413104
"Organism|Liver|A","R1-k1","Thalf",-1.01312506480125
"Organism|Liver|A","Volume","FractionAucLastToInf",0.00597026840963047
"Organism|Liver|A","Q","FractionAucLastToInf",0.00597026840963045
"Organism|Liver|A","R1-k1","FractionAucLastToInf",-3.03174461776818
"Organism|Liver|B","Volume","C_max",0
"Organism|Liver|B","Q","C_max",0
"Organism|Liver|B","R1-k1","C_max",0.135061724163806
"Organism|Liver|B","Volume","t_max",0
"Organism|Liver|B","Q","t_max",0
"Organism|Liver|B","R1-k1","t_max",0
"Organism|Liver|B","Volume","C_tEnd",0
"Organism|Liver|B","Q","C_tEnd",0
"Organism|Liver|B","R1-k1","C_tEnd",0.135061724163806
"Organism|Liver|B","Volume","AUC_tEnd",0
"Organism|Liver|B","Q","AUC_tEnd",0
"Organism|Liver|B","R1-k1","AUC_tEnd",0.31419658906824
"Organism|Liver|B","Volume","Thalf",0.00262572897175011
"Organism|Liver|B","Q","Thalf",0.00262572897175012
"Organism|Liver|B","R1-k1","Thalf",2.08762142290653
